sentence,label,norm_subj,norm_obj
"@@ Agrobacterium rhizogenes @@ strains of the agropine type harbor on their Ri-plasmid two T-DNAs, a left TL-DNA and a right TR-DNA.çThe rolB gene of the TL-DNA is the major factor in the pathogenesis of the $$ hairy-root $$ disease and its constitutive expression interfere profoundly with plant morphogenesis.",0,ncbi:359,OBT:002850
"@@ Agrobacterium rhizogenes @@ strains of the agropine type harbor on their Ri-plasmid two T-DNAs, a left TL-DNA and a right TR-DNA.çThe rolB gene of the TL-DNA is the major factor in the pathogenesis of the hairy-root disease and its constitutive expression interfere profoundly with $$ plant $$ morphogenesis.",0,ncbi:359,OBT:000393
"A putative rolB gene homologue of the Agrobacterium rhizogenes TR-DNA has different morphogenetic activity in $$ tobacco $$ than rolB.ç@@ Agrobacterium rhizogenes @@ strains of the agropine type harbor on their Ri-plasmid two T-DNAs, a left TL-DNA and a right TR-DNA.",0,ncbi:359,OBT:002870
A putative rolB gene homologue of the @@ Agrobacterium rhizogenes @@ TR-DNA has different morphogenetic activity in $$ tobacco $$ than rolB.,1,ncbi:359,OBT:002870
"Among the strains of C. trachomatis, three from $$ cases of trachoma $$, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.çOf the four @@ C. psittaci @@ strains from different hosts, three showed distinct patterns of amino acid requirements.",0,ncbi:83554,OBT:003269
"Among the strains of C. trachomatis, three from cases of trachoma, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.çOf the four @@ C. psittaci @@ strains from different hosts, three showed distinct patterns of amino acid requirements.",0,ncbi:83554,OBT:000364
"Among the strains of @@ C. trachomatis @@, three from $$ cases of trachoma $$, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",1,ncbi:813,OBT:003269
"Among the strains of @@ C. trachomatis @@, three from cases of trachoma, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:000364
"Among the strains of C. trachomatis, three from $$ cases of trachoma $$, representing @@ serotypes @@ A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",1,ncbi:813,OBT:003269
"Among the strains of C. trachomatis, three from cases of trachoma, representing @@ serotypes @@ A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:000364
"Among the strains of C. trachomatis, three from $$ cases of trachoma $$, representing @@ serotypes A @@, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",1,ncbi:813,OBT:003269
"Among the strains of C. trachomatis, three from cases of trachoma, representing @@ serotypes A @@, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:000364
"Among the strains of C. trachomatis, three from $$ cases of trachoma $$, representing @@ serotypes @@ A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",1,ncbi:813,OBT:003269
"Among the strains of C. trachomatis, three from cases of trachoma, representing @@ serotypes @@ A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:000364
"Among the strains of C. trachomatis, three from $$ cases of trachoma $$, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing @@ serotypes D-I @@, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:003269
"Among the strains of C. trachomatis, three from cases of trachoma, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing @@ serotypes D-I @@, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",1,ncbi:813,OBT:000364
"All 11 strains of @@ C. trachomatis @@ examined showed a requirement for addition of histidine to the medium; this was not shown by any of four C. psittaci strains.çAmong the strains of C. trachomatis, three from $$ cases of trachoma $$, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:003269
"All 11 strains of @@ C. trachomatis @@ examined showed a requirement for addition of histidine to the medium; this was not shown by any of four C. psittaci strains.çAmong the strains of C. trachomatis, three from cases of trachoma, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:813,OBT:000364
"All 11 strains of C. trachomatis examined showed a requirement for addition of histidine to the medium; this was not shown by any of four @@ C. psittaci @@ strains.çAmong the strains of C. trachomatis, three from $$ cases of trachoma $$, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of oculogenital origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:83554,OBT:003269
"All 11 strains of C. trachomatis examined showed a requirement for addition of histidine to the medium; this was not shown by any of four @@ C. psittaci @@ strains.çAmong the strains of C. trachomatis, three from cases of trachoma, representing serotypes A, B and C, showed a distinctive requirement for the addition of tryptophan to the medium, whilst six strains of $$ oculogenital $$ origin, representing serotypes D-I, exhibited no requirement for tryptophan or methionine; a lymphogranuloma venereum and a 'fast variant' strain both showed a requirement for methionine.",0,ncbi:83554,OBT:000364
Differences in requirements were revealed which for C. trachomatis strains correlated with $$ clinical $$ syndrome and for C. psittaci with host origin.çAll 11 strains of @@ C. trachomatis @@ examined showed a requirement for addition of histidine to the medium; this was not shown by any of four C. psittaci strains.,0,ncbi:813,OBT:003220
Differences in requirements were revealed which for C. trachomatis strains correlated with $$ clinical $$ syndrome and for C. psittaci with host origin.çAll 11 strains of C. trachomatis examined showed a requirement for addition of histidine to the medium; this was not shown by any of four @@ C. psittaci @@ strains.,0,ncbi:83554,OBT:003220
Differences in requirements were revealed which for @@ C. trachomatis @@ strains correlated with $$ clinical $$ syndrome and for C. psittaci with host origin.,1,ncbi:813,OBT:003220
Differences in requirements were revealed which for C. trachomatis strains correlated with $$ clinical $$ syndrome and for @@ C. psittaci @@ with host origin.,0,ncbi:83554,OBT:003220
The effects of omission of individual amino acids from growth medium on the multiplication of a range of @@ Chlamydia trachomatis @@ and C. psittaci strains in cycloheximide-treated McCoy cells have been assessed.çDifferences in requirements were revealed which for C. trachomatis strains correlated with $$ clinical $$ syndrome and for C. psittaci with host origin.,0,ncbi:813,OBT:003220
The effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and @@ C. psittaci @@ strains in cycloheximide-treated McCoy cells have been assessed.çDifferences in requirements were revealed which for C. trachomatis strains correlated with $$ clinical $$ syndrome and for C. psittaci with host origin.,0,ncbi:83554,OBT:003220
The effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and C. psittaci strains in $$ cycloheximide-treated McCoy cells $$ have been assessed.çDifferences in requirements were revealed which for @@ C. trachomatis @@ strains correlated with clinical syndrome and for C. psittaci with host origin.,0,ncbi:813,OBT:000062|OBT:000061
The effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and C. psittaci strains in $$ cycloheximide-treated McCoy cells $$ have been assessed.çDifferences in requirements were revealed which for C. trachomatis strains correlated with clinical syndrome and for @@ C. psittaci @@ with host origin.,0,ncbi:83554,OBT:000062|OBT:000061
The effects of omission of individual amino acids from growth medium on the multiplication of a range of @@ Chlamydia trachomatis @@ and C. psittaci strains in $$ cycloheximide-treated McCoy cells $$ have been assessed.,1,ncbi:813,OBT:000062|OBT:000061
The effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and @@ C. psittaci @@ strains in $$ cycloheximide-treated McCoy cells $$ have been assessed.,1,ncbi:83554,OBT:000062|OBT:000061
Amino acid requirements of strains of @@ Chlamydia trachomatis @@ and C. psittaci growing in McCoy cells: relationship with clinical syndrome and host origin.çThe effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and C. psittaci strains in $$ cycloheximide-treated McCoy cells $$ have been assessed.,0,ncbi:813,OBT:000062|OBT:000061
Amino acid requirements of strains of Chlamydia trachomatis and @@ C. psittaci @@ growing in McCoy cells: relationship with clinical syndrome and host origin.çThe effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and C. psittaci strains in $$ cycloheximide-treated McCoy cells $$ have been assessed.,0,ncbi:83554,OBT:000062|OBT:000061
Amino acid requirements of strains of Chlamydia trachomatis and C. psittaci growing in $$ McCoy cells $$: relationship with clinical syndrome and host origin.çThe effects of omission of individual amino acids from growth medium on the multiplication of a range of @@ Chlamydia trachomatis @@ and C. psittaci strains in cycloheximide-treated McCoy cells have been assessed.,0,ncbi:813,OBT:000062|OBT:000061
Amino acid requirements of strains of Chlamydia trachomatis and C. psittaci growing in McCoy cells: relationship with $$ clinical $$ syndrome and host origin.çThe effects of omission of individual amino acids from growth medium on the multiplication of a range of @@ Chlamydia trachomatis @@ and C. psittaci strains in cycloheximide-treated McCoy cells have been assessed.,0,ncbi:813,OBT:003220
Amino acid requirements of strains of Chlamydia trachomatis and C. psittaci growing in $$ McCoy cells $$: relationship with clinical syndrome and host origin.çThe effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and @@ C. psittaci @@ strains in cycloheximide-treated McCoy cells have been assessed.,0,ncbi:83554,OBT:000062|OBT:000061
Amino acid requirements of strains of Chlamydia trachomatis and C. psittaci growing in McCoy cells: relationship with $$ clinical $$ syndrome and host origin.çThe effects of omission of individual amino acids from growth medium on the multiplication of a range of Chlamydia trachomatis and @@ C. psittaci @@ strains in cycloheximide-treated McCoy cells have been assessed.,0,ncbi:83554,OBT:003220
Amino acid requirements of strains of @@ Chlamydia trachomatis @@ and C. psittaci growing in $$ McCoy cells $$: relationship with clinical syndrome and host origin.,1,ncbi:813,OBT:000062|OBT:000061
Amino acid requirements of strains of @@ Chlamydia trachomatis @@ and C. psittaci growing in McCoy cells: relationship with $$ clinical $$ syndrome and host origin.,0,ncbi:813,OBT:003220
Amino acid requirements of strains of Chlamydia trachomatis and @@ C. psittaci @@ growing in $$ McCoy cells $$: relationship with clinical syndrome and host origin.,1,ncbi:83554,OBT:000062|OBT:000061
Amino acid requirements of strains of Chlamydia trachomatis and @@ C. psittaci @@ growing in McCoy cells: relationship with $$ clinical $$ syndrome and host origin.,0,ncbi:83554,OBT:003220
"High throughput sequencing allows higher resolution  quantitation and we have shown that we can recover even fairly minor  taxonomi groups, such as the @@ Leuconostoc @@ genus (see Additional file 14: Table S8), known to be part of the minority population in $$ cheeses $$ [48].",1,ncbi:1243,OBT:001480
Finding @@ MRSA @@-contaminated surfaces on a variety of environmental surfaces in the absence of an overt outbreak emphasizes that $$ correctional facilities $$ should have protocols for environmental cleaning as a component of MRSA prevention.,1,ncbi:1280,OBT:000695
Finding MRSA-contaminated surfaces on a variety of environmental surfaces in the absence of an overt outbreak emphasizes that $$ correctional facilities $$ should have protocols for environmental cleaning as a component of @@ MRSA @@ prevention.,1,ncbi:1280,OBT:000695
"We ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates' nasal $$ specimens.çFinding @@ MRSA @@-contaminated surfaces on a variety of environmental surfaces in the absence of an overt outbreak emphasizes that correctional facilities should have protocols for environmental cleaning as a component of MRSA prevention.",0,ncbi:1280,OBT:000767
"We ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates $$' nasal specimens.çFinding @@ MRSA @@-contaminated surfaces on a variety of environmental surfaces in the absence of an overt outbreak emphasizes that correctional facilities should have protocols for environmental cleaning as a component of MRSA prevention.",0,ncbi:1280,OBT:003291
"We ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates' nasal $$ specimens.çFinding MRSA-contaminated surfaces on a variety of environmental surfaces in the absence of an overt outbreak emphasizes that correctional facilities should have protocols for environmental cleaning as a component of @@ MRSA @@ prevention.",0,ncbi:1280,OBT:000767
"We ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates $$' nasal specimens.çFinding MRSA-contaminated surfaces on a variety of environmental surfaces in the absence of an overt outbreak emphasizes that correctional facilities should have protocols for environmental cleaning as a component of @@ MRSA @@ prevention.",0,ncbi:1280,OBT:003291
"We recovered @@ S. aureus @@ from 10 (7.6%) surfaces; eight (6.1%) isolates were MRSA.çWe ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates' nasal $$ specimens.",0,ncbi:1280,OBT:000767
"We recovered @@ S. aureus @@ from 10 (7.6%) surfaces; eight (6.1%) isolates were MRSA.çWe ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates $$' nasal specimens.",0,ncbi:1280,OBT:003291
"We recovered S. aureus from 10 (7.6%) surfaces; eight (6.1%) isolates were @@ MRSA @@.çWe ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates' nasal $$ specimens.",1,ncbi:1280,OBT:000767
"We recovered S. aureus from 10 (7.6%) surfaces; eight (6.1%) isolates were @@ MRSA @@.çWe ran pulsed-field gel electrophoresis on six resistant isolates and observed three patterns, one of which was identical to that identified in a previous study of $$ inmates $$' nasal specimens.",1,ncbi:1280,OBT:003291
"We swabbed 132 surfaces, inoculated $$ primary and secondary mannitol salts $$ and oxacillin-resistant screening agar, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.çWe recovered @@ S. aureus @@ from 10 (7.6%) surfaces; eight (6.1%) isolates were MRSA.",1,ncbi:1280,OBT:000007
"We swabbed 132 surfaces, inoculated primary and secondary mannitol salts and $$ oxacillin-resistant screening agar $$, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.çWe recovered @@ S. aureus @@ from 10 (7.6%) surfaces; eight (6.1%) isolates were MRSA.",1,ncbi:1280,OBT:000041|OBT:000031
"We swabbed 132 surfaces, inoculated $$ primary and secondary mannitol salts $$ and oxacillin-resistant screening agar, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.çWe recovered S. aureus from 10 (7.6%) surfaces; eight (6.1%) isolates were @@ MRSA @@.",1,ncbi:1280,OBT:000007
"We swabbed 132 surfaces, inoculated primary and secondary mannitol salts and $$ oxacillin-resistant screening agar $$, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.çWe recovered S. aureus from 10 (7.6%) surfaces; eight (6.1%) isolates were @@ MRSA @@.",1,ncbi:1280,OBT:000041|OBT:000031
"We swabbed 132 surfaces, inoculated $$ primary and secondary mannitol salts $$ and oxacillin-resistant screening agar, and used API tests to identify @@ S. aureus @@ and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000007
"We swabbed 132 surfaces, inoculated primary and secondary mannitol salts and $$ oxacillin-resistant screening agar $$, and used API tests to identify @@ S. aureus @@ and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000041|OBT:000031
"We examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant @@ Staphylococcus aureus @@ (MRSA).çWe swabbed 132 surfaces, inoculated $$ primary and secondary mannitol salts $$ and oxacillin-resistant screening agar, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000007
"We examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant @@ Staphylococcus aureus @@ (MRSA).çWe swabbed 132 surfaces, inoculated primary and secondary mannitol salts and $$ oxacillin-resistant screening agar $$, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000041|OBT:000031
"We examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (@@ MRSA @@).çWe swabbed 132 surfaces, inoculated $$ primary and secondary mannitol salts $$ and oxacillin-resistant screening agar, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000007
"We examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (@@ MRSA @@).çWe swabbed 132 surfaces, inoculated primary and secondary mannitol salts and $$ oxacillin-resistant screening agar $$, and used API tests to identify S. aureus and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000041|OBT:000031
"We examined $$ jail $$ environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (MRSA).çWe swabbed 132 surfaces, inoculated primary and secondary mannitol salts and oxacillin-resistant screening agar, and used API tests to identify @@ S. aureus @@ and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000695
"We examined $$ jail environmental surfaces $$ to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (MRSA).çWe swabbed 132 surfaces, inoculated primary and secondary mannitol salts and oxacillin-resistant screening agar, and used API tests to identify @@ S. aureus @@ and E-tests to determine methicillin/oxacillin resistance.",0,ncbi:1280,OBT:000006
We examined $$ jail $$ environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant @@ Staphylococcus aureus @@ (MRSA).,0,ncbi:1280,OBT:000695
We examined $$ jail environmental surfaces $$ to explore whether they might serve as reservoirs of viable methicillin-resistant @@ Staphylococcus aureus @@ (MRSA).,0,ncbi:1280,OBT:000006
We examined $$ jail $$ environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (@@ MRSA @@).,0,ncbi:1280,OBT:000695
We examined $$ jail environmental surfaces $$ to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (@@ MRSA @@).,0,ncbi:1280,OBT:000006
Detection of @@ Staphylococcus aureus @@ including MRSA on environmental surfaces in a jail setting.çWe examined $$ jail $$ environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (MRSA).,0,ncbi:1280,OBT:000695
Detection of @@ Staphylococcus aureus @@ including MRSA on environmental surfaces in a jail setting.çWe examined $$ jail environmental surfaces $$ to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (MRSA).,0,ncbi:1280,OBT:000006
Detection of Staphylococcus aureus including @@ MRSA @@ on environmental surfaces in a jail setting.çWe examined $$ jail $$ environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (MRSA).,0,ncbi:1280,OBT:000695
Detection of Staphylococcus aureus including @@ MRSA @@ on environmental surfaces in a jail setting.çWe examined $$ jail environmental surfaces $$ to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (MRSA).,0,ncbi:1280,OBT:000006
Detection of Staphylococcus aureus including MRSA on $$ environmental surfaces in a jail setting $$.çWe examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant @@ Staphylococcus aureus @@ (MRSA).,0,ncbi:1280,OBT:000006
Detection of Staphylococcus aureus including MRSA on environmental surfaces in a $$ jail $$ setting.çWe examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant @@ Staphylococcus aureus @@ (MRSA).,0,ncbi:1280,OBT:000695
Detection of Staphylococcus aureus including MRSA on $$ environmental surfaces in a jail setting $$.çWe examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (@@ MRSA @@).,0,ncbi:1280,OBT:000006
Detection of Staphylococcus aureus including MRSA on environmental surfaces in a $$ jail $$ setting.çWe examined jail environmental surfaces to explore whether they might serve as reservoirs of viable methicillin-resistant Staphylococcus aureus (@@ MRSA @@).,0,ncbi:1280,OBT:000695
Detection of @@ Staphylococcus aureus @@ including MRSA on $$ environmental surfaces in a jail setting $$.,1,ncbi:1280,OBT:000006
Detection of @@ Staphylococcus aureus @@ including MRSA on environmental surfaces in a $$ jail $$ setting.,1,ncbi:1280,OBT:000695
Detection of Staphylococcus aureus including @@ MRSA @@ on $$ environmental surfaces in a jail setting $$.,1,ncbi:1280,OBT:000006
Detection of Staphylococcus aureus including @@ MRSA @@ on environmental surfaces in a $$ jail $$ setting.,1,ncbi:1280,OBT:000695
