pre-trained model/kg,google drive url
bbrel-rotate-kge,https://drive.google.com/drive/folders/1zLzaMO9f_1qHTAxh4CZtR0yELKshWU6g?usp=sharing
bbrel-no-kb-42,https://drive.google.com/drive/folders/1hmFD6jLVgSZy4-MGMRONs0lwxGE-KVBj?usp=sharing
bbrel-no-kb-55,https://drive.google.com/drive/folders/1rW9r7XGTHS9wAbajdPhqI8HfW-KnDYjo?usp=sharing
bbrel-no-kb-61,https://drive.google.com/drive/folders/1vVeyQqKwBzTTVudir3LDR7BZtvQt8isQ?usp=sharing
bbrel-no-kb-93,https://drive.google.com/drive/folders/1cUtvXKlA4SswEaHuPz-Sbvei1vxUJ_BP?usp=sharing
bbrel-no-kb-96,https://drive.google.com/drive/folders/1wIEdpe7eTueMFCN72zB3rhTQDsY9hdKX?usp=sharing
bbrel-with-kb-42,https://drive.google.com/drive/folders/1nUO2sNKpLRJfy0DMZjfSq_BvxiRzkgDS?usp=sharing
bbrel-with-kb-55,https://drive.google.com/drive/folders/1em3dIya1qfg06reDmsl5tTFaSxynYuh3?usp=sharing
bbrel-with-kb-61,https://drive.google.com/drive/folders/1kVoBsKMBQ3ghTalfirP9uxjYZx45yHH0?usp=sharing
bbrel-with-kb-93,https://drive.google.com/drive/folders/1ddiViHtUZoSZOiX076C4tl9VU18AyxBh?usp=sharing
bbrel-with-kb-96,https://drive.google.com/drive/folders/1CYbzp5RgquWLgd3qvicICn1NQb9hJyjd?usp=sharing
